Wed Jun  3 06:47:25 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200                    On  |   00000000:4C:00.0 Off |                    0 |
| N/A   37C    P0             81W /  700W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
JAX devices: [CudaDevice(id=0)]
Step 23900: grad_norm=0.0483, loss=0.0064, param_norm=1822.2552
Step 24000: grad_norm=0.0422, loss=0.0063, param_norm=1822.3359
Step 24100: grad_norm=0.0501, loss=0.0063, param_norm=1822.4210
Step 24200: grad_norm=0.0513, loss=0.0063, param_norm=1822.5015
Step 24300: grad_norm=0.0467, loss=0.0063, param_norm=1822.5809
Step 24400: grad_norm=0.0439, loss=0.0062, param_norm=1822.6621
Step 24500: grad_norm=0.0506, loss=0.0065, param_norm=1822.7423
Step 24600: grad_norm=0.0480, loss=0.0067, param_norm=1822.8247
Step 24700: grad_norm=0.0470, loss=0.0064, param_norm=1822.9102
Step 24800: grad_norm=0.0506, loss=0.0064, param_norm=1822.9894
Step 24900: grad_norm=0.0456, loss=0.0064, param_norm=1823.0687
Step 25000: grad_norm=0.0520, loss=0.0064, param_norm=1823.1532
Step 25100: grad_norm=0.0467, loss=0.0062, param_norm=1823.2339
Step 25200: grad_norm=0.0550, loss=0.0064, param_norm=1823.3153
Step 25300: grad_norm=0.0545, loss=0.0065, param_norm=1823.3993
Step 25400: grad_norm=0.0470, loss=0.0061, param_norm=1823.4800
Step 25500: grad_norm=0.0482, loss=0.0061, param_norm=1823.5610
Step 25600: grad_norm=0.0466, loss=0.0065, param_norm=1823.6396
Step 25700: grad_norm=0.0482, loss=0.0062, param_norm=1823.7207
Step 25800: grad_norm=0.0450, loss=0.0061, param_norm=1823.8019
Step 25900: grad_norm=0.0447, loss=0.0061, param_norm=1823.8762
Step 26000: grad_norm=0.0519, loss=0.0065, param_norm=1823.9565
Step 26100: grad_norm=0.0468, loss=0.0064, param_norm=1824.0366
Step 26200: grad_norm=0.0509, loss=0.0063, param_norm=1824.1179
Step 26300: grad_norm=0.0469, loss=0.0064, param_norm=1824.1937
Step 26400: grad_norm=0.0476, loss=0.0062, param_norm=1824.2726
Step 26500: grad_norm=0.0473, loss=0.0061, param_norm=1824.3566
Step 26600: grad_norm=0.0481, loss=0.0063, param_norm=1824.4412
Step 26700: grad_norm=0.0514, loss=0.0066, param_norm=1824.5245
Step 26800: grad_norm=0.0485, loss=0.0062, param_norm=1824.6056
Step 26900: grad_norm=0.0514, loss=0.0062, param_norm=1824.6927
Step 27000: grad_norm=0.0511, loss=0.0059, param_norm=1824.7681
Step 27100: grad_norm=0.0455, loss=0.0063, param_norm=1824.8561
Step 27200: grad_norm=0.0473, loss=0.0063, param_norm=1824.9299
Step 27300: grad_norm=0.0515, loss=0.0064, param_norm=1825.0062
Step 27400: grad_norm=0.0471, loss=0.0060, param_norm=1825.0912
Step 27500: grad_norm=0.0426, loss=0.0061, param_norm=1825.1716
Step 27600: grad_norm=0.0438, loss=0.0062, param_norm=1825.2537
Step 27700: grad_norm=0.0502, loss=0.0063, param_norm=1825.3350
Step 27800: grad_norm=0.0457, loss=0.0060, param_norm=1825.4159
Step 27900: grad_norm=0.0471, loss=0.0060, param_norm=1825.4917
Step 28000: grad_norm=0.0502, loss=0.0064, param_norm=1825.5739
Step 28100: grad_norm=0.0473, loss=0.0061, param_norm=1825.6564
Step 28200: grad_norm=0.0511, loss=0.0059, param_norm=1825.7377
Step 28300: grad_norm=0.0454, loss=0.0058, param_norm=1825.8265
Step 28400: grad_norm=0.0510, loss=0.0063, param_norm=1825.9077
Step 28500: grad_norm=0.0452, loss=0.0058, param_norm=1825.9874
Step 28600: grad_norm=0.0534, loss=0.0060, param_norm=1826.0647
Step 28700: grad_norm=0.0492, loss=0.0060, param_norm=1826.1487
Step 28800: grad_norm=0.0497, loss=0.0063, param_norm=1826.2239
Step 28900: grad_norm=0.0473, loss=0.0057, param_norm=1826.3049
Step 29000: grad_norm=0.0482, loss=0.0060, param_norm=1826.3889
Step 29100: grad_norm=0.0493, loss=0.0060, param_norm=1826.4648
Step 29200: grad_norm=0.0513, loss=0.0058, param_norm=1826.5431
Step 29300: grad_norm=0.0453, loss=0.0058, param_norm=1826.6173
Step 29400: grad_norm=0.0474, loss=0.0060, param_norm=1826.7003
Step 29500: grad_norm=0.0464, loss=0.0062, param_norm=1826.7819
Step 29600: grad_norm=0.0456, loss=0.0060, param_norm=1826.8594
Step 29700: grad_norm=0.0449, loss=0.0060, param_norm=1826.9412
Step 29800: grad_norm=0.0516, loss=0.0061, param_norm=1827.0212
Step 29900: grad_norm=0.0439, loss=0.0056, param_norm=1827.0977
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mforklift-full[0m at: [34mhttps://wandb.ai/tim-duggan93-tufts-university/openpi/runs/93s9wik8[0m
[1;34mwandb[0m: Find logs at: [1;35m../.cache/wandb/wandb/run-20260603_064807-93s9wik8/logs[0m
